SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
1;0;3322; LVQDYOQYKFDBXNQDQUHYDJAEEBZQMTBLCABWGMS;-92;103
1;240;3331;                                        ;-95;101
2;0;3450; CRNOIAFTLFPCUQFFAXOZQEGXMWGGLKHVXTDHNZQ;-95;101
2;240;3452;                                        ;-93;102
3;0;3578; ANKYPRBWTEAZDAFEQXTIJJTKWEAZQGMPLOHYXRU;-93;102
3;240;3581;                                        ;-81;107
4;0;3706; TOJVBZLLQGJAIDBTQIBYGDZCXKUJVWGHWBMJJMB;-81;107
4;240;3713;                                        ;-82;107
5;0;3834; PKSNZKGZGILUIGGPKZWHAETCLRCYXCSIXSUTJMR;-82;107
5;240;3838;                                        ;-86;105
6;0;3962; MVQLYBSJNIHNFQYFHYSZWGPSVNHNNGDNJZJYPQC;-86;105
6;240;3967;                                        ;-87;105
7;0;4090; FLNZTRHCFGBKAKZXAMALSUAUXXCHQJXQAIDDTJS;-87;105
7;240;4092;                                        ;-91;104
8;0;4218; ZGCBULLYYJYMYTIOYAWPZSHHFPQPSATDDBCAGJG;-91;104
8;240;4227;                                        ;-90;100
9;0;4346; OBMNZVHKOXRLAMUZLTTSAXOAQBTHXAMSDVMVKZG;-101;48
9;240;4373;                                        ;-96;74
10;0;4474; GHTZBFOVGLVLTLWSZXFSGZSBJMOCFDAMJYMXDBD;-96;74
10;240;4481;                                        ;-91;106
11;0;4602; UZSITVADWJAYLIEZMPPATSRAJUKOTQIOLUAHOAU;-91;106
11;240;4605;                                        ;-95;100
12;0;4730; IEMXNRTGPWGAUKURFVTOIIZBJETJNXRQLHOIOLX;-95;100
12;240;4736;                                        ;-90;101
13;0;4858; QTGGJKMWICIXNDHETYCWWNSLCHFRNKRNEAUEEWQ;-90;101
13;240;4863;                                        ;-85;108
14;0;4986; KMCVXGVVKRRXUWOOBILAWWSITFCECYNBIYWBRAK;-85;108
14;240;4994;                                        ;-81;107
15;0;5114; DMKBJTEIQRNSJBLPAXYCERDOGQIJSABHFMWTONB;-81;107
15;240;5122;                                        ;-87;107
16;0;5242; XCZMCNRWJFEAEUPROHQYOGUMMQIJGIFMIBTGCYP;-87;107
16;240;5247;                                        ;-85;106
17;0;5370; NJMBMTEIHPFNBKLFTKFAYIXENFXZXGBRUVAOTGE;-85;106
17;240;5374;                                        ;-83;107
18;0;5498; OMSPWQROHDBZXCUKNVKKLMGYLFFOSBZTHLLLFGB;-83;107
18;240;5511;                                        ;-92;106
19;0;5626; BZTFTRNNSWEEXMBCGBDCBRDAOXEYLIHBLMOFIYF;-92;106
19;240;5628;                                        ;-86;106
20;0;5754; YKGLGQJYYLKSASXEZTVVJJZITPWLKPVRQFYLSGE;-86;106
20;240;5761;                                        ;-86;107
21;0;5882; UOBSPBCUPQVRLPHQBMBCNPWWCOFCCTFYMLVHDXF;-86;107
21;240;5889;                                        ;-81;107
22;0;6010; YTFNZFFBHATYZMKJDCKALELCODKJEYSJAJRAANT;-81;107
22;240;6013;                                        ;-81;108
23;0;6138; VDOPUKRLFZJZIITIMFHIEFGMRYWTHZZDWHQUXUA;-81;108
23;240;6148;                                        ;-78;107
24;0;6266; QKDCBXEEYPNZHAUWQXPQGFTCJQGYFJVHWXGJPEV;-78;107
24;240;6273;                                        ;-81;107
25;0;6394; UFUYIPHVJWEUWMWXXEAJLSALOKHFIDMNMKLYOLT;-81;107
25;240;6400;                                        ;-81;107
26;0;6522; VDPJZBKQEXISGXJTDNUNDTGADIVFKLKBLMVZDQY;-81;107
26;240;6527;                                        ;-79;107
27;0;6650; VAWWJETYXZHQQELZOSDEKSXPJGAMABUCMHRQOOB;-79;107
27;240;6653;                                        ;-78;107
28;0;6778; MWAZEIQPLRSIEHVGAUVMUKDZIIYBPIVYTLLNIPX;-78;107
28;240;6785;                                        ;-80;107
29;0;6906; GXJBHOSQVQPXPISUDERNERDVFAXFXQQDLLVRVNP;-80;107
29;240;6908;                                        ;-83;107
30;0;7034; QUCYLDXDBQGNEHAJIHHVYLLYFQLSPDUJTGDJFSU;-83;107
30;240;7039;                                        ;-85;107
31;0;7162; BDHBVECDWFNBAGKYHMOBFXOATHOFHJCQYAMJHDY;-85;107
31;240;7172;                                        ;-83;108
32;0;7290; DDVIGRKYAPGCWSJDFEKXSTSWJTFMNGLIGXGAMAI;-83;108
32;240;7302;                                        ;-78;107
33;0;7418; GRVHLZUDDKGWNIVBSYPLXPONGTPKXJKKWTXSDMM;-81;105
33;240;7425;                                        ;-86;107
34;0;7546; EEJRKLCGGCJWEBAFCTGJJTWCYSSDBMMOGQMCCIL;-86;107
34;240;7556;                                        ;-84;107
35;0;7674; BHFSFJKOOMHTLBJPZLKBOYOLBWGNDRQAVDSLTXL;-84;107
35;240;7684;                                        ;-82;107
36;0;7802; EGKEMKTDJSSLTPZWMDJPRKYKNQSLFYIFEAZRSQK;-82;107
36;240;7811;                                        ;-75;107
37;0;7930; MBIAZWSBUBSFBUWBUTEKIKGNHXTWCWDQIQMAQNC;-75;107
37;240;7932;                                        ;-77;108
38;0;8058; WEPBXJWTYCFRSRGMJEDTIDYHWPALOCYXBTIMEUG;-77;108
38;240;8063;                                        ;-76;106
39;0;8186; JFGJOXIXQUFRHXGQHSNRZPFQOVZRWNEWKGWSKNP;-76;106
39;240;8196;                                        ;-82;108
40;0;8314; SPMINAMWQHMGXILZCLMFFTORMCKXMYVJLTJGJMM;-82;108
40;240;8321;                                        ;-70;107
41;0;8442; DGXRNVAPXPKRFJYWGHXUVLTIHREGSZULHYMOAMT;-70;107
41;240;8450;                                        ;-76;107
42;0;8570; VDTVIYXDYEDIHNVVRQJVCFKOIQOGONXHRVVYVQX;-76;107
42;240;8572;                                        ;-77;108
43;0;8698; VUIUATMZCIEQDFSYCBLIPITOJLRNPNVMJHRHGPA;-77;108
43;240;8702;                                        ;-77;107
44;0;8826; HVVEBVOMGMAGBKNMJAOPONCRAWLTSMSFHRNIDVG;-77;107
44;240;8836;                                        ;-75;106
45;0;8954; XEIQRVTMTHDQSGMISRFQZDQQMGMVTXGDKPPRGRC;-75;106
45;240;8961;                                        ;-80;108
46;0;9082; YRLZVVQRAMYIJIAOBRRQYFJENZCJWXYGBYUVAHV;-80;108
46;240;9085;                                        ;-76;106
47;0;9210; YWFXDEXSMCCSCQYRZJLYQAZASEQWBFZHTDRSQQB;-76;106
47;240;9214;                                        ;-81;107
48;0;9338; KHBNMXBKYVONGNFKIJZZGWSTVEGFDIRBHIHZAMZ;-81;107
48;240;9343;                                        ;-75;108
49;0;9466; PVVYJDAWUBGXZXRHRKQPYTXSKAYXDBDAZZLLXNX;-75;108
49;240;9475;                                        ;-78;107
50;0;9594; OKSYZMMGDOVBEXHHQPONKRCFOLABHNYYUZHXCRS;-78;107
50;240;9599;                                        ;-83;108
51;0;9722; DFMEKUHLIHSQPTOGVRYGARUJBHEKHTQFTVVRVIR;-83;108
51;240;9752;                                        ;-90;105
52;0;9850; FJRIJCQFNQLYBTIEACLICOYZYITNWDVDBWXSSNK;-90;105
52;240;9855;                                        ;-85;107
53;0;9978; GPPDZZOFAZUECKDFSAFVLXQTQAEYLBGBWNPDLGK;-85;107
53;240;9980;                                        ;-81;107
54;0;10106; JSXNRHBOTJHKAZMZWIWZACXLULAQSURLMAVXCPL;-81;107
54;240;10113;                                        ;-81;108
55;0;10234; VUMMRPBFTWBXERUBILLDHNGTUSLRPTECYBWMOVK;-81;108
55;240;10236;                                        ;-81;107
