SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
1;0;2810; LVQDYOQYKFDBXNQDQUHYDJAEEBZQMTBLCABWGMS;-63;107
1;240;2820;                                        ;-64;108
1;255;2821;                                        ;-64;106
2;0;2938; CRNOIAFTLFPCUQFFAXOZQEGXMWGGLKHVXTDHNZQ;-64;106
2;240;2946;                                        ;-61;107
2;255;2951;                                        ;-61;106
3;0;3066; ANKYPRBWTEAZDAFEQXTIJJTKWEAZQGMPLOHYXRU;-61;106
3;240;3073;                                        ;-61;107
3;255;3078;                                        ;-61;107
4;0;3194; TOJVBZLLQGJAIDBTQIBYGDZCXKUJVWGHWBMJJMB;-61;107
4;240;3198;                                        ;-62;107
4;255;3205;                                        ;-63;107
5;0;3322; PKSNZKGZGILUIGGPKZWHAETCLRCYXCSIXSUTJMR;-63;107
5;240;3325;                                        ;-57;107
5;255;3334;                                        ;-57;107
6;0;3450; MVQLYBSJNIHNFQYFHYSZWGPSVNHNNGDNJZJYPQC;-72;108
6;240;3455;                                        ;-63;107
6;255;3471;                                        ;-65;107
7;0;3578; FLNZTRHCFGBKAKZXAMALSUAUXXCHQJXQAIDDTJS;-65;107
7;240;3584;                                        ;-73;106
7;255;3595;                                        ;-83;107
8;0;3706; ZGCBULLYYJYMYTIOYAWPZSHHFPQPSATDDBCAGJG;-83;107
8;240;3712;                                        ;-70;107
8;255;3722;                                        ;-69;107
9;0;3834; OBMNZVHKOXRLAMUZLTTSAXOAQBTHXAMSDVMVKZG;-69;107
9;240;3841;                                        ;-73;107
9;255;3845;                                        ;-78;108
10;0;3962; GHTZBFOVGLVLTLWSZXFSGZSBJMOCFDAMJYMXDBD;-78;108
10;240;3973;                                        ;-70;108
10;255;3981;                                        ;-68;108
11;0;4090; UZSITVADWJAYLIEZMPPATSRAJUKOTQIOLUAHOAU;-68;108
11;240;4103;                                        ;-82;107
11;255;4107;                                        ;-81;108
12;0;4218; IEMXNRTGPWGAUKURFVTOIIZBJETJNXRQLHOIOLX;-81;108
12;240;4220;                                        ;-78;107
12;255;4225;                                        ;-77;107
13;0;4346; QTGGJKMWICIXNDHETYCWWNSLCHFRNKRNEAUEEWQ;-77;107
13;240;4356;                                        ;-75;108
13;255;4362;                                        ;-75;108
14;0;4474; KMCVXGVVKRRXUWOOBILAWWSITFCECYNBIYWBRAK;-75;108
14;240;4483;                                        ;-73;106
14;255;4490;                                        ;-73;108
15;0;4602; DMKBJTEIQRNSJBLPAXYCERDOGQIJSABHFMWTONB;-73;108
15;240;4613;                                        ;-73;107
15;255;4618;                                        ;-72;108
16;0;4730; XCZMCNRWJFEAEUPROHQYOGUMMQIJGIFMIBTGCYP;-72;108
16;240;4739;                                        ;-77;106
16;255;4752;                                        ;-76;107
17;0;4858; NJMBMTEIHPFNBKLFTKFAYIXENFXZXGBRUVAOTGE;-76;107
17;240;4864;                                        ;-74;108
17;255;4890;                                        ;-74;107
18;0;4986; OMSPWQROHDBZXCUKNVKKLMGYLFFOSBZTHLLLFGB;-74;107
18;240;4994;                                        ;-76;107
18;255;5005;                                        ;-76;108
19;0;5114; BZTFTRNNSWEEXMBCGBDCBRDAOXEYLIHBLMOFIYF;-76;108
19;240;5119;                                        ;-78;108
19;255;5124;                                        ;-79;107
20;0;5242; YKGLGQJYYLKSASXEZTVVJJZITPWLKPVRQFYLSGE;-79;107
20;240;5248;                                        ;-83;107
20;255;5255;                                        ;-84;107
21;0;5370; UOBSPBCUPQVRLPHQBMBCNPWWCOFCCTFYMLVHDXF;-84;107
21;240;5373;                                        ;-81;107
21;255;5383;                                        ;-81;107
22;0;5498; YTFNZFFBHATYZMKJDCKALELCODKJEYSJAJRAANT;-81;107
22;240;5504;                                        ;-93;95
22;255;5520;                                        ;-88;108
23;0;5626; VDOPUKRLFZJZIITIMFHIEFGMRYWTHZZDWHQUXUA;-88;108
23;240;5632;                                        ;-77;106
23;255;5643;                                        ;-78;107
24;0;5754; QKDCBXEEYPNZHAUWQXPQGFTCJQGYFJVHWXGJPEV;-78;107
24;240;5762;                                        ;-72;107
24;255;5770;                                        ;-72;108
25;0;5882; UFUYIPHVJWEUWMWXXEAJLSALOKHFIDMNMKLYOLT;-72;108
25;240;5887;                                        ;-72;106
25;255;5894;                                        ;-72;108
26;0;6010; VDPJZBKQEXISGXJTDNUNDTGADIVFKLKBLMVZDQY;-72;108
26;240;6015;                                        ;-68;107
26;255;6021;                                        ;-68;106
27;0;6138; VAWWJETYXZHQQELZOSDEKSXPJGAMABUCMHRQOOB;-68;106
27;240;6148;                                        ;-66;106
27;255;6150;                                        ;-66;107
28;0;6266; MWAZEIQPLRSIEHVGAUVMUKDZIIYBPIVYTLLNIPX;-66;107
28;240;6269;                                        ;-63;107
28;255;6283;                                        ;-62;107
