SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
1;0;2298;LVQDYOQYKFDBXNQDQUHYDJAEEBZQMTBLCABWGMS;-81;108
1;240;2315;;-79;107
1;255;2321;;-80;108
2;0;2426;CRNOIAFTLFPCUQFFAXOZQEGXMWGGLKHVXTDHNZQ;-80;108
2;240;2442;;-79;108
2;255;2448;;-80;108
3;0;2554;ANKYPRBWTEAZDAFEQXTIJJTKWEAZQGMPLOHYXRU;-80;108
3;240;2560;;-80;107
3;255;2582;;-80;108
4;0;2682;TOJVBZLLQGJAIDBTQIBYGDZCXKUJVWGHWBMJJMB;-80;108
4;240;2690;;-83;108
4;255;2694;;-83;106
5;0;2810;PKSNZKGZGILUIGGPKZWHAETCLRCYXCSIXSUTJMR;-83;106
5;240;2820;;-84;108
5;255;2823;;-84;107
6;0;2938;MVQLYBSJNIHNFQYFHYSZWGPSVNHNNGDNJZJYPQC;-84;107
6;240;2953;;-81;107
6;255;2958;;-83;106
7;0;3066;FLNZTRHCFGBKAKZXAMALSUAUXXCHQJXQAIDDTJS;-83;106
7;240;3083;;-93;103
7;255;3087;;-87;105
8;0;3194;ZGCBULLYYJYMYTIOYAWPZSHHFPQPSATDDBCAGJG;-87;105
8;240;3230;;-98;95
8;255;3236;;-95;107
9;0;3322;OBMNZVHKOXRLAMUZLTTSAXOAQBTHXAMSDVMVKZG;-87;107
9;240;3359;;-97;104
9;255;3364;;-94;102
10;0;3450;GHTZBFOVGLVLTLWSZXFSGZSBJMOCFDAMJYMXDBD;-94;102
10;240;3463;;-88;105
10;255;3468;;-89;107
11;0;3578;UZSITVADWJAYLIEZMPPATSRAJUKOTQIOLUAHOAU;-89;107
11;240;3597;;-83;107
11;255;3603;;-87;108
12;0;3706;IEMXNRTGPWGAUKURFVTOIIZBJETJNXRQLHOIOLX;-87;108
12;240;3718;;-86;107
12;255;3726;;-86;107
13;0;3834;QTGGJKMWICIXNDHETYCWWNSLCHFRNKRNEAUEEWQ;-86;107
13;240;3854;;-86;106
13;255;3867;;-87;107
14;0;3962;KMCVXGVVKRRXUWOOBILAWWSITFCECYNBIYWBRAK;-87;107
14;240;3968;;-88;107
14;255;3981;;-91;107
15;0;4090;DMKBJTEIQRNSJBLPAXYCERDOGQIJSABHFMWTONB;-91;107
15;240;4114;;-93;107
15;255;4122;;-90;107
16;0;4218;XCZMCNRWJFEAEUPROHQYOGUMMQIJGIFMIBTGCYP;-90;107
16;240;4232;;-91;105
16;255;4238;;-92;107
17;0;4346;NJMBMTEIHPFNBKLFTKFAYIXENFXZXGBRUVAOTGE;-92;107
17;240;4357;;-88;108
17;255;4372;;-87;108
18;0;4474;OMSPWQROHDBZXCUKNVKKLMGYLFFOSBZTHLLLFGB;-87;108
18;240;4495;;-91;99
18;255;4501;;-91;107
19;0;4602;BZTFTRNNSWEEXMBCGBDCBRDAOXEYLIHBLMOFIYF;-91;107
19;240;4613;;-91;106
19;255;4623;;-92;108
20;0;4730;YKGLGQJYYLKSASXEZTVVJJZITPWLKPVRQFYLSGE;-92;108
20;240;4740;;-88;107
20;255;4753;;-89;107
21;0;4858;UOBSPBCUPQVRLPHQBMBCNPWWCOFCCTFYMLVHDXF;-89;107
21;240;4872;;-93;100
21;255;4883;;-89;107
22;0;4986;YTFNZFFBHATYZMKJDCKALELCODKJEYSJAJRAANT;-89;107
22;240;5000;;-93;104
22;255;5012;;-91;104
23;0;5114;VDOPUKRLFZJZIITIMFHIEFGMRYWTHZZDWHQUXUA;-91;104
23;240;5132;;-87;107
23;255;5135;;-84;107
24;0;5242;QKDCBXEEYPNZHAUWQXPQGFTCJQGYFJVHWXGJPEV;-84;107
24;240;5259;;-87;108
24;255;5269;;-89;107
25;0;5370;UFUYIPHVJWEUWMWXXEAJLSALOKHFIDMNMKLYOLT;-89;107
25;240;5387;;-85;108
25;255;5393;;-85;107
26;0;5498;VDPJZBKQEXISGXJTDNUNDTGADIVFKLKBLMVZDQY;-85;107
26;240;5508;;-78;107
26;255;5515;;-78;107
27;0;5626;VAWWJETYXZHQQELZOSDEKSXPJGAMABUCMHRQOOB;-78;107
27;240;5637;;-78;106
27;255;5646;;-78;107
28;0;5754;MWAZEIQPLRSIEHVGAUVMUKDZIIYBPIVYTLLNIPX;-78;107
28;240;5770;;-87;106
28;255;5774;;-86;107
29;0;5882;GXJBHOSQVQPXPISUDERNERDVFAXFXQQDLLVRVNP;-86;107
29;240;5895;;-82;107
29;255;5898;;-84;107
30;0;6010;QUCYLDXDBQGNEHAJIHHVYLLYFQLSPDUJTGDJFSU;-84;107
30;240;6028;;-85;108
30;255;6034;;-85;107
31;0;6138;BDHBVECDWFNBAGKYHMOBFXOATHOFHJCQYAMJHDY;-85;107
31;240;6145;;-82;106
31;255;6151;;-82;107
32;0;6266;DDVIGRKYAPGCWSJDFEKXSTSWJTFMNGLIGXGAMAI;-82;107
32;240;6276;;-82;107
32;255;6292;;-82;107
33;0;6394;GRVHLZUDDKGWNIVBSYPLXPONGTPKXJKKWTXSDMM;-82;107
33;240;6409;;-79;108
33;255;6426;;-80;107
34;0;6522;EEJRKLCGGCJWEBAFCTGJJTWCYSSDBMMOGQMCCIL;-80;107
34;240;6542;;-81;107
34;255;6551;;-79;108
35;0;6650;BHFSFJKOOMHTLBJPZLKBOYOLBWGNDRQAVDSLTXL;-79;108
35;240;6666;;-78;107
35;255;6682;;-79;107
36;0;6778;EGKEMKTDJSSLTPZWMDJPRKYKNQSLFYIFEAZRSQK;-79;107
36;240;6791;;-80;108
36;255;6798;;-79;107
37;0;6906;MBIAZWSBUBSFBUWBUTEKIKGNHXTWCWDQIQMAQNC;-79;107
37;240;6934;;-78;107
37;255;6948;;-80;108
38;0;7034;WEPBXJWTYCFRSRGMJEDTIDYHWPALOCYXBTIMEUG;-80;108
38;240;7040;;-84;107
38;255;7052;;-82;106
39;0;7162;JFGJOXIXQUFRHXGQHSNRZPFQOVZRWNEWKGWSKNP;-82;106
39;240;7173;;-79;107
39;255;7183;;-81;107
40;0;7290;SPMINAMWQHMGXILZCLMFFTORMCKXMYVJLTJGJMM;-81;107
40;240;7311;;-82;106
40;255;7324;;-82;107
41;0;7418;DGXRNVAPXPKRFJYWGHXUVLTIHREGSZULHYMOAMT;-82;107
41;240;7431;;-79;107
41;255;7444;;-79;107
42;0;7546;VDTVIYXDYEDIHNVVRQJVCFKOIQOGONXHRVVYVQX;-79;107
42;240;7553;;-82;108
42;255;7565;;-81;108
43;0;7674;VUIUATMZCIEQDFSYCBLIPITOJLRNPNVMJHRHGPA;-81;108
43;240;7687;;-87;105
43;255;7691;;-85;107
44;0;7802;HVVEBVOMGMAGBKNMJAOPONCRAWLTSMSFHRNIDVG;-85;107
44;240;7811;;-89;105
44;255;7823;;-87;108
45;0;7930;XEIQRVTMTHDQSGMISRFQZDQQMGMVTXGDKPPRGRC;-87;108
45;240;7942;;-90;107
45;255;7951;;-88;108
46;0;8058;YRLZVVQRAMYIJIAOBRRQYFJENZCJWXYGBYUVAHV;-88;108
46;240;8077;;-90;108
46;255;8087;;-91;108
47;0;8186;YWFXDEXSMCCSCQYRZJLYQAZASEQWBFZHTDRSQQB;-91;108
47;240;8200;;-91;103
47;255;8226;;-94;108
48;0;8314;KHBNMXBKYVONGNFKIJZZGWSTVEGFDIRBHIHZAMZ;-94;108
48;240;8324;;-94;101
48;255;8334;;-94;108
49;0;8442;PVVYJDAWUBGXZXRHRKQPYTXSKAYXDBDAZZLLXNX;-94;108
49;240;8456;;-91;107
49;255;8477;;-92;107
50;0;8570;OKSYZMMGDOVBEXHHQPONKRCFOLABHNYYUZHXCRS;-92;107
50;240;8600;;-93;105
50;255;8601;;-93;107
51;0;8698;DFMEKUHLIHSQPTOGVRYGARUJBHEKHTQFTVVRVIR;-93;107
51;240;8713;;-93;103
51;255;8724;;-91;107
