SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
11;0;4089;DAFEQXTIJ;-78;107
11;240;4094;;-81;107
12;0;4217;JTKWEAZQG;-81;107
12;240;4226;;-94;108
13;0;4345;MPLOHYXRU;-94;108
13;240;4355;;-82;107
14;0;4473;TOJVBZLLQ;-82;107
14;240;4483;;-76;108
15;0;4601;GJAIDBTQI;-76;108
15;240;4606;;-73;108
16;0;4729;BYGDZCXKU;-73;108
16;240;4746;;-84;107
17;0;4857;JVWGHWBMJ;-84;107
17;240;4869;;-81;108
18;0;4985;JMBPKSNZK;-81;108
18;240;4993;;-95;80
19;0;5113;GZGILUIGG;-95;80
19;240;5120;;-91;107
20;0;5241;PKZWHAETC;-91;107
20;240;5247;;-89;107
21;0;5369;LRCYXCSIX;-89;107
21;240;5374;;-85;106
22;0;5497;SUTJMRMVQ;-80;107
22;240;5504;;-79;107
23;0;5625;LYBSJNIHN;-79;107
23;240;5632;;-95;108
24;0;5753;FQYFHYSZW;-95;108
24;240;5760;;-81;106
25;0;5881;GPSVNHNNG;-81;106
25;240;5888;;-92;104
26;0;6009;DNJZJYPQC;-92;104
26;240;6014;;-93;102
27;0;6137;FLNZTRHCF;-93;102
27;240;6144;;-89;106
28;0;6265;GBKAKZXAM;-89;106
28;240;6271;;-92;105
29;0;6393;ALSUAUXXC;-92;105
29;240;6400;;-86;107
30;0;6521;HQJXQAIDD;-86;107
30;240;6531;;-83;107
31;0;6649;TJSZGCBUL;-83;107
31;240;6654;;-89;98
32;0;6777;LYYJYMYTI;-89;98
32;240;6780;;-94;104
33;0;6905;OYAWPZSHH;-94;104
33;240;6912;;-96;106
34;0;7033;FPQPSATDD;-96;106
34;240;7041;;-88;106
35;0;7161;BCAGJGOBM;-88;106
35;240;7163;;-86;107
36;0;7289;NZVHKOXRL;-86;107
36;240;7296;;-86;105
37;0;7417;AMUZLTTSA;-86;105
37;240;7424;;-86;107
38;0;7545;XOAQBTHXA;-86;107
38;240;7548;;-84;107
39;0;7673;MSDVMVKZG;-84;107
39;240;7674;;-83;107
40;0;7801;GHTZBFOVG;-83;107
40;240;7811;;-81;107
41;0;7929;LVLTLWSZX;-81;107
41;240;7935;;-75;107
42;0;8057;FSGZSBJMO;-75;107
42;240;8061;;-79;107
43;0;8185;CFDAMJYMX;-79;107
43;240;8190;;-75;107
44;0;8313;DBDUZSITV;-75;107
44;240;8321;;-70;107
45;0;8441;ADWJAYLIE;-70;107
45;240;8445;;-66;107
46;0;8569;ZMPPATSRA;-66;107
46;240;8578;;-64;107
47;0;8697;JUKOTQIOL;-64;107
47;240;8702;;-64;107
48;0;8825;UAHOAUIEM;-64;107
48;240;8831;;-81;107
49;0;8953;XNRTGPWGA;-81;107
49;240;8959;;-68;107
50;0;9081;UKURFVTOI;-68;107
50;240;9084;;-71;107
51;0;9209;IZBJETJNX;-71;107
51;240;9212;;-70;107
52;0;9337;RQLHOIOLX;-70;107
52;240;9345;;-79;106
53;0;9465;QTGGJKMWI;-79;106
53;240;9472;;-73;108
54;0;9593;CIXNDHETY;-73;108
54;240;9599;;-85;108
55;0;9721;CWWNSLCHF;-85;108
55;240;9729;;-71;107
