SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
5;0;3644;PKSNZKGZGILUIGGPKZWHAETCLRCYXCSIXSUTJMR;-69;108
5;240;3645;;-69;108
6;0;3770;MVQLYBSJNIHNFQYFHYSZWGPSVNHNNGDNJZJYPQC;-70;107
6;240;3771;;-70;107
7;0;3895;FLNZTRHCFGBKAKZXAMALSUAUXXCHQJXQAIDDTJS;-69;107
7;240;3896;;-69;107
8;0;4023;ZGCBULLYYJYMYTIOYAWPZSHHFPQPSATDDBCAGJG;-71;107
8;240;4024;;-71;107
9;0;4156;OBMNZVHKOXRLAMUZLTTSAXOAQBTHXAMSDVMVKZG;-76;107
9;240;4157;;-76;107
10;0;4282;GHTZBFOVGLVLTLWSZXFSGZSBJMOCFDAMJYMXDBD;-72;106
10;240;4283;;-72;106
11;0;4412;UZSITVADWJAYLIEZMPPATSRAJUKOTQIOLUAHOAU;-75;108
11;240;4413;;-75;108
12;0;4537;IEMXNRTGPWGAUKURFVTOIIZBJETJNXRQLHOIOLX;-72;107
12;240;4538;;-72;107
13;0;4667;QTGGJKMWICIXNDHETYCWWNSLCHFRNKRNEAUEEWQ;-67;107
13;240;4668;;-67;107
14;0;4795;KMCVXGVVKRRXUWOOBILAWWSITFCECYNBIYWBRAK;-68;107
14;240;4796;;-68;107
15;0;4922;DMKBJTEIQRNSJBLPAXYCERDOGQIJSABHFMWTONB;-69;106
15;240;4923;;-69;106
16;0;5048;XCZMCNRWJFEAEUPROHQYOGUMMQIJGIFMIBTGCYP;-69;108
16;240;5049;;-69;108
17;0;5178;NJMBMTEIHPFNBKLFTKFAYIXENFXZXGBRUVAOTGE;-75;107
17;240;5179;;-75;107
18;0;5308;OMSPWQROHDBZXCUKNVKKLMGYLFFOSBZTHLLLFGB;-66;107
18;240;5309;;-66;107
19;0;5436;BZTFTRNNSWEEXMBCGBDCBRDAOXEYLIHBLMOFIYF;-74;107
19;240;5437;;-74;107
20;0;5562;YKGLGQJYYLKSASXEZTVVJJZITPWLKPVRQFYLSGE;-69;107
20;240;5563;;-69;107
21;0;5690;UOBSPBCUPQVRLPHQBMBCNPWWCOFCCTFYMLVHDXF;-70;107
21;240;5691;;-70;107
22;0;5816;YTFNZFFBHATYZMKJDCKALELCODKJEYSJAJRAANT;-64;107
22;240;5817;;-64;107
23;0;5948;VDOPUKRLFZJZIITIMFHIEFGMRYWTHZZDWHQUXUA;-68;107
23;240;5949;;-68;107
24;0;6076;QKDCBXEEYPNZHAUWQXPQGFTCJQGYFJVHWXGJPEV;-69;107
24;240;6077;;-69;107
25;0;6199;UFUYIPHVJWEUWMWXXEAJLSALOKHFIDMNMKLYOLT;-69;107
25;240;6200;;-69;107
26;0;6331;VDPJZBKQEXISGXJTDNUNDTGADIVFKLKBLMVZDQY;-67;108
26;240;6332;;-67;108
27;0;6460;VAWWJETYXZHQQELZOSDEKSXPJGAMABUCMHRQOOB;-68;106
27;240;6461;;-68;106
28;0;6583;MWAZEIQPLRSIEHVGAUVMUKDZIIYBPIVYTLLNIPX;-66;107
28;240;6583;;-66;107
29;0;6711;GXJBHOSQVQPXPISUDERNERDVFAXFXQQDLLVRVNP;-69;107
29;240;6711;;-69;107
30;0;6842;QUCYLDXDBQGNEHAJIHHVYLLYFQLSPDUJTGDJFSU;-68;107
30;240;6843;;-68;107
31;0;6970;BDHBVECDWFNBAGKYHMOBFXOATHOFHJCQYAMJHDY;-89;107
31;240;6971;;-89;107
32;0;7096;DDVIGRKYAPGCWSJDFEKXSTSWJTFMNGLIGXGAMAI;-72;104
32;240;7097;;-72;104
33;0;7227;GRVHLZUDDKGWNIVBSYPLXPONGTPKXJKKWTXSDMM;-69;108
33;240;7228;;-69;108
34;0;7353;EEJRKLCGGCJWEBAFCTGJJTWCYSSDBMMOGQMCCIL;-70;107
34;240;7354;;-70;107
35;0;7484;BHFSFJKOOMHTLBJPZLKBOYOLBWGNDRQAVDSLTXL;-64;108
35;240;7485;;-64;108
36;0;7609;EGKEMKTDJSSLTPZWMDJPRKYKNQSLFYIFEAZRSQK;-69;107
36;240;7610;;-69;107
37;0;7735;MBIAZWSBUBSFBUWBUTEKIKGNHXTWCWDQIQMAQNC;-66;107
37;240;7736;;-66;107
38;0;7863;WEPBXJWTYCFRSRGMJEDTIDYHWPALOCYXBTIMEUG;-64;107
38;240;7864;;-64;107
39;0;7993;JFGJOXIXQUFRHXGQHSNRZPFQOVZRWNEWKGWSKNP;-68;107
39;240;7994;;-68;107
40;0;8123;SPMINAMWQHMGXILZCLMFFTORMCKXMYVJLTJGJMM;-66;107
40;240;8124;;-66;107
41;0;8248;DGXRNVAPXPKRFJYWGHXUVLTIHREGSZULHYMOAMT;-78;107
41;240;8249;;-78;107
42;0;8379;VDTVIYXDYEDIHNVVRQJVCFKOIQOGONXHRVVYVQX;-72;106
42;240;8380;;-72;106
43;0;8507;VUIUATMZCIEQDFSYCBLIPITOJLRNPNVMJHRHGPA;-70;108
43;240;8508;;-70;108
