SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
5;0;9260;PKSNZKGZGILUIGGPKZWHAETCLRCYXCSIXSUTJMR;-79;107
5;240;9260;;-79;107
5;0;9260;PKSNZKGZGILUIGGPKZWHAETCLRCYXCSIXSUTJMR;-79;107
5;255;9268;;-75;107
5;255;9268;;-75;107
6;0;9391;MVQLYBSJNIHNFQYFHYSZWGPSVNHNNGDNJZJYPQC;-75;108
6;240;9391;;-75;108
6;0;9391;MVQLYBSJNIHNFQYFHYSZWGPSVNHNNGDNJZJYPQC;-75;108
6;255;9398;;-76;108
6;255;9398;;-76;108
7;0;9515;FLNZTRHCFGBKAKZXAMALSUAUXXCHQJXQAIDDTJS;-75;107
7;240;9515;;-75;107
7;0;9515;FLNZTRHCFGBKAKZXAMALSUAUXXCHQJXQAIDDTJS;-75;107
7;255;9525;;-72;107
7;255;9525;;-72;107
8;0;9646;ZGCBULLYYJYMYTIOYAWPZSHHFPQPSATDDBCAGJG;-94;107
8;240;9646;;-94;107
8;0;9646;ZGCBULLYYJYMYTIOYAWPZSHHFPQPSATDDBCAGJG;-94;107
8;255;9653;;-81;106
8;255;9653;;-81;106
9;0;9773;OBMNZVHKOXRLAMUZLTTSAXOAQBTHXAMSDVMVKZG;-79;108
9;240;9773;;-79;108
9;0;9773;OBMNZVHKOXRLAMUZLTTSAXOAQBTHXAMSDVMVKZG;-79;108
9;255;9783;;-76;108
9;255;9783;;-76;108
10;0;9898;GHTZBFOVGLVLTLWSZXFSGZSBJMOCFDAMJYMXDBD;-74;107
10;240;9898;;-74;107
10;0;9898;GHTZBFOVGLVLTLWSZXFSGZSBJMOCFDAMJYMXDBD;-74;107
10;255;9908;;-78;108
10;255;9908;;-78;108
11;0;10027;UZSITVADWJAYLIEZMPPATSRAJUKOTQIOLUAHOAU;-72;107
11;240;10027;;-72;107
11;0;10027;UZSITVADWJAYLIEZMPPATSRAJUKOTQIOLUAHOAU;-72;107
11;255;10030;;-81;108
11;255;10030;;-81;108
12;0;10157;IEMXNRTGPWGAUKURFVTOIIZBJETJNXRQLHOIOLX;-76;107
12;240;10157;;-76;107
12;0;10157;IEMXNRTGPWGAUKURFVTOIIZBJETJNXRQLHOIOLX;-76;107
12;255;10163;;-80;108
12;255;10163;;-80;108
13;0;10284;QTGGJKMWICIXNDHETYCWWNSLCHFRNKRNEAUEEWQ;-79;108
13;240;10284;;-79;108
13;0;10284;QTGGJKMWICIXNDHETYCWWNSLCHFRNKRNEAUEEWQ;-79;108
13;255;10298;;-82;106
13;255;10298;;-82;106
14;0;10414;KMCVXGVVKRRXUWOOBILAWWSITFCECYNBIYWBRAK;-90;106
14;240;10414;;-90;106
14;0;10414;KMCVXGVVKRRXUWOOBILAWWSITFCECYNBIYWBRAK;-90;106
14;255;10421;;-81;108
14;255;10421;;-81;108
15;0;10542;DMKBJTEIQRNSJBLPAXYCERDOGQIJSABHFMWTONB;-97;107
15;240;10542;;-97;107
15;0;10542;DMKBJTEIQRNSJBLPAXYCERDOGQIJSABHFMWTONB;-97;107
15;255;10575;;-88;103
15;255;10575;;-88;103
16;0;10668;XCZMCNRWJFEAEUPROHQYOGUMMQIJGIFMIBTGCYP;-84;105
16;240;10668;;-84;105
16;0;10668;XCZMCNRWJFEAEUPROHQYOGUMMQIJGIFMIBTGCYP;-84;105
16;255;10671;;-85;107
16;255;10671;;-85;107
17;0;10798;NJMBMTEIHPFNBKLFTKFAYIXENFXZXGBRUVAOTGE;-83;107
17;240;10798;;-83;107
17;0;10798;NJMBMTEIHPFNBKLFTKFAYIXENFXZXGBRUVAOTGE;-83;107
17;255;10805;;-78;108
17;255;10805;;-78;108
18;0;10922;OMSPWQROHDBZXCUKNVKKLMGYLFFOSBZTHLLLFGB;-75;107
18;240;10922;;-75;107
18;0;10922;OMSPWQROHDBZXCUKNVKKLMGYLFFOSBZTHLLLFGB;-75;107
18;255;10928;;-74;107
18;255;10928;;-74;107
