SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
5;255;9448;;-75;108
5;0;9448;PKSNZKGZGILUIGGPKZWHAETCLRCYXCSIXSUTJMR;-75;108
6;255;9582;;-76;107
6;0;9582;MVQLYBSJNIHNFQYFHYSZWGPSVNHNNGDNJZJYPQC;-76;107
7;255;9706;;-73;106
7;0;9706;FLNZTRHCFGBKAKZXAMALSUAUXXCHQJXQAIDDTJS;-73;106
8;255;9837;;-81;107
8;0;9837;ZGCBULLYYJYMYTIOYAWPZSHHFPQPSATDDBCAGJG;-81;107
9;255;9965;;-77;105
9;0;9965;OBMNZVHKOXRLAMUZLTTSAXOAQBTHXAMSDVMVKZG;-77;105
10;255;10089;;-78;108
10;0;10089;GHTZBFOVGLVLTLWSZXFSGZSBJMOCFDAMJYMXDBD;-78;108
11;255;10214;;-81;107
11;0;10214;UZSITVADWJAYLIEZMPPATSRAJUKOTQIOLUAHOAU;-81;107
12;255;10346;;-81;108
12;0;10346;IEMXNRTGPWGAUKURFVTOIIZBJETJNXRQLHOIOLX;-81;108
13;255;10471;;-86;106
13;0;10471;QTGGJKMWICIXNDHETYCWWNSLCHFRNKRNEAUEEWQ;-86;106
14;255;10601;;-82;107
14;0;10601;KMCVXGVVKRRXUWOOBILAWWSITFCECYNBIYWBRAK;-82;107
15;255;10757;;-89;104
15;0;10757;DMKBJTEIQRNSJBLPAXYCERDOGQIJSABHFMWTONB;-89;104
16;255;10855;;-84;107
16;0;10855;XCZMCNRWJFEAEUPROHQYOGUMMQIJGIFMIBTGCYP;-84;107
17;255;10986;;-78;107
17;0;10986;NJMBMTEIHPFNBKLFTKFAYIXENFXZXGBRUVAOTGE;-78;107
18;255;11110;;-74;108
18;0;11110;OMSPWQROHDBZXCUKNVKKLMGYLFFOSBZTHLLLFGB;-74;108
19;255;11239;;-76;107
19;0;11239;BZTFTRNNSWEEXMBCGBDCBRDAOXEYLIHBLMOFIYF;-76;107
20;255;11369;;-80;107
20;0;11369;YKGLGQJYYLKSASXEZTVVJJZITPWLKPVRQFYLSGE;-80;107
21;255;11494;;-73;106
21;0;11494;UOBSPBCUPQVRLPHQBMBCNPWWCOFCCTFYMLVHDXF;-73;106
22;255;11627;;-75;107
22;0;11627;YTFNZFFBHATYZMKJDCKALELCODKJEYSJAJRAANT;-75;107
23;255;11755;;-85;107
23;0;11755;VDOPUKRLFZJZIITIMFHIEFGMRYWTHZZDWHQUXUA;-85;107
24;255;11885;;-85;107
24;0;11885;QKDCBXEEYPNZHAUWQXPQGFTCJQGYFJVHWXGJPEV;-85;107
25;255;12008;;-85;108
25;0;12008;UFUYIPHVJWEUWMWXXEAJLSALOKHFIDMNMKLYOLT;-85;108
26;255;12137;;-76;107
26;0;12137;VDPJZBKQEXISGXJTDNUNDTGADIVFKLKBLMVZDQY;-76;107
27;255;12271;;-73;107
27;0;12271;VAWWJETYXZHQQELZOSDEKSXPJGAMABUCMHRQOOB;-73;107
28;255;12395;;-73;107
28;0;12395;MWAZEIQPLRSIEHVGAUVMUKDZIIYBPIVYTLLNIPX;-73;107
29;255;12524;;-81;107
29;0;12524;GXJBHOSQVQPXPISUDERNERDVFAXFXQQDLLVRVNP;-81;107
30;255;12650;;-79;108
30;0;12650;QUCYLDXDBQGNEHAJIHHVYLLYFQLSPDUJTGDJFSU;-79;108
31;255;12778;;-86;107
31;0;12778;BDHBVECDWFNBAGKYHMOBFXOATHOFHJCQYAMJHDY;-86;107
32;255;12907;;-93;104
32;0;12907;DDVIGRKYAPGCWSJDFEKXSTSWJTFMNGLIGXGAMAI;-93;104
33;255;13037;;-89;95
33;0;13037;GRVHLZUDDKGWNIVBSYPLXPONGTPKXJKKWTXSDMM;-89;95
34;255;13162;;-93;105
34;0;13162;EEJRKLCGGCJWEBAFCTGJJTWCYSSDBMMOGQMCCIL;-93;105
35;255;13286;;-82;101
35;0;13286;BHFSFJKOOMHTLBJPZLKBOYOLBWGNDRQAVDSLTXL;-82;101
36;255;13413;;-80;106
36;0;13413;EGKEMKTDJSSLTPZWMDJPRKYKNQSLFYIFEAZRSQK;-80;106
37;255;13549;;-81;107
37;0;13549;MBIAZWSBUBSFBUWBUTEKIKGNHXTWCWDQIQMAQNC;-81;107
38;255;13673;;-80;108
38;0;13673;WEPBXJWTYCFRSRGMJEDTIDYHWPALOCYXBTIMEUG;-80;108
39;255;13816;;-96;108
39;0;13816;JFGJOXIXQUFRHXGQHSNRZPFQOVZRWNEWKGWSKNP;-96;108
40;255;13928;;-85;103
40;0;13928;SPMINAMWQHMGXILZCLMFFTORMCKXMYVJLTJGJMM;-85;103
41;255;14054;;-89;106
41;0;14054;DGXRNVAPXPKRFJYWGHXUVLTIHREGSZULHYMOAMT;-89;106
42;255;14183;;-87;106
42;0;14183;VDTVIYXDYEDIHNVVRQJVCFKOIQOGONXHRVVYVQX;-87;106
43;255;14309;;-82;107
43;0;14309;VUIUATMZCIEQDFSYCBLIPITOJLRNPNVMJHRHGPA;-82;107
44;255;14446;;-87;105
44;0;14446;HVVEBVOMGMAGBKNMJAOPONCRAWLTSMSFHRNIDVG;-87;105
45;255;14566;;-95;97
45;0;14566;XEIQRVTMTHDQSGMISRFQZDQQMGMVTXGDKPPRGRC;-95;97
46;255;14698;;-87;91
46;0;14698;YRLZVVQRAMYIJIAOBRRQYFJENZCJWXYGBYUVAHV;-87;91
47;255;14827;;-87;108
47;0;14827;YWFXDEXSMCCSCQYRZJLYQAZASEQWBFZHTDRSQQB;-87;108
48;255;14954;;-78;105
48;0;14954;KHBNMXBKYVONGNFKIJZZGWSTVEGFDIRBHIHZAMZ;-78;105
