SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
1;0;2298; LVQDYOQYKFDBXNQDQUHYDJAEEBZQMTBLCABWGMS;-72;108
1;240;2305;                                        ;-78;108
1;255;2319;                                        ;-78;108
2;0;2426; CRNOIAFTLFPCUQFFAXOZQEGXMWGGLKHVXTDHNZQ;-78;108
2;240;2429;                                        ;-78;108
2;255;2437;                                        ;-78;107
3;0;2554; ANKYPRBWTEAZDAFEQXTIJJTKWEAZQGMPLOHYXRU;-78;107
3;240;2556;                                        ;-73;108
3;255;2567;                                        ;-74;108
4;0;2682; TOJVBZLLQGJAIDBTQIBYGDZCXKUJVWGHWBMJJMB;-74;108
4;240;2691;                                        ;-77;107
4;255;2694;                                        ;-76;107
5;0;2810; PKSNZKGZGILUIGGPKZWHAETCLRCYXCSIXSUTJMR;-76;107
5;240;2816;                                        ;-79;107
5;255;2833;                                        ;-79;108
6;0;2938; MVQLYBSJNIHNFQYFHYSZWGPSVNHNNGDNJZJYPQC;-79;108
6;240;2950;                                        ;-78;106
6;255;2957;                                        ;-78;106
7;0;3066; FLNZTRHCFGBKAKZXAMALSUAUXXCHQJXQAIDDTJS;-78;106
7;240;3074;                                        ;-76;108
7;255;3082;                                        ;-74;107
8;0;3194; ZGCBULLYYJYMYTIOYAWPZSHHFPQPSATDDBCAGJG;-74;107
8;240;3201;                                        ;-95;98
8;255;3208;                                        ;-90;99
9;0;3322; OBMNZVHKOXRLAMUZLTTSAXOAQBTHXAMSDVMVKZG;-90;99
9;240;3333;                                        ;-77;108
9;255;3338;                                        ;-76;107
10;0;3450; GHTZBFOVGLVLTLWSZXFSGZSBJMOCFDAMJYMXDBD;-76;107
10;240;3457;                                        ;-75;107
10;255;3462;                                        ;-73;108
11;0;3578; UZSITVADWJAYLIEZMPPATSRAJUKOTQIOLUAHOAU;-73;108
11;240;3582;                                        ;-72;107
11;255;3588;                                        ;-73;107
12;0;3706; IEMXNRTGPWGAUKURFVTOIIZBJETJNXRQLHOIOLX;-90;107
12;240;3716;                                        ;-77;107
12;255;3717;                                        ;-77;108
13;0;3834; QTGGJKMWICIXNDHETYCWWNSLCHFRNKRNEAUEEWQ;-77;108
13;240;3839;                                        ;-81;108
13;255;3857;                                        ;-81;107
14;0;3962; KMCVXGVVKRRXUWOOBILAWWSITFCECYNBIYWBRAK;-81;107
14;240;3969;                                        ;-92;107
14;255;3978;                                        ;-89;108
15;0;4090; DMKBJTEIQRNSJBLPAXYCERDOGQIJSABHFMWTONB;-89;108
15;240;4097;                                        ;-96;92
15;255;4133;                                        ;-92;98
16;0;4218; XCZMCNRWJFEAEUPROHQYOGUMMQIJGIFMIBTGCYP;-92;98
16;240;4226;                                        ;-86;106
16;255;4227;                                        ;-86;107
17;0;4346; NJMBMTEIHPFNBKLFTKFAYIXENFXZXGBRUVAOTGE;-86;107
17;240;4354;                                        ;-83;107
17;255;4359;                                        ;-81;108
18;0;4474; OMSPWQROHDBZXCUKNVKKLMGYLFFOSBZTHLLLFGB;-81;108
18;240;4481;                                        ;-76;106
18;255;4485;                                        ;-75;108
19;0;4602; BZTFTRNNSWEEXMBCGBDCBRDAOXEYLIHBLMOFIYF;-75;108
19;240;4607;                                        ;-79;108
19;255;4616;                                        ;-80;108
20;0;4730; YKGLGQJYYLKSASXEZTVVJJZITPWLKPVRQFYLSGE;-80;108
20;240;4735;                                        ;-83;106
20;255;4743;                                        ;-82;107
21;0;4858; UOBSPBCUPQVRLPHQBMBCNPWWCOFCCTFYMLVHDXF;-82;107
21;240;4862;                                        ;-79;108
21;255;4870;                                        ;-80;106
22;0;4986; YTFNZFFBHATYZMKJDCKALELCODKJEYSJAJRAANT;-80;106
22;240;4993;                                        ;-79;108
22;255;5001;                                        ;-81;107
23;0;5114; VDOPUKRLFZJZIITIMFHIEFGMRYWTHZZDWHQUXUA;-81;107
23;240;5119;                                        ;-83;107
23;255;5126;                                        ;-83;107
24;0;5242; QKDCBXEEYPNZHAUWQXPQGFTCJQGYFJVHWXGJPEV;-83;107
24;240;5249;                                        ;-82;108
24;255;5257;                                        ;-81;107
25;0;5370; UFUYIPHVJWEUWMWXXEAJLSALOKHFIDMNMKLYOLT;-81;107
25;240;5378;                                        ;-83;107
25;255;5381;                                        ;-83;108
26;0;5498; VDPJZBKQEXISGXJTDNUNDTGADIVFKLKBLMVZDQY;-83;108
26;240;5503;                                        ;-81;108
26;255;5509;                                        ;-81;108
27;0;5626; VAWWJETYXZHQQELZOSDEKSXPJGAMABUCMHRQOOB;-81;108
27;240;5634;                                        ;-85;106
27;255;5644;                                        ;-83;108
28;0;5754; MWAZEIQPLRSIEHVGAUVMUKDZIIYBPIVYTLLNIPX;-83;108
28;240;5758;                                        ;-81;108
28;255;5768;                                        ;-87;107
29;0;5882; GXJBHOSQVQPXPISUDERNERDVFAXFXQQDLLVRVNP;-87;107
29;240;5888;                                        ;-82;107
29;255;5898;                                        ;-85;108
30;0;6010; QUCYLDXDBQGNEHAJIHHVYLLYFQLSPDUJTGDJFSU;-85;108
30;240;6017;                                        ;-81;108
30;255;6019;                                        ;-80;107
31;0;6138; BDHBVECDWFNBAGKYHMOBFXOATHOFHJCQYAMJHDY;-80;107
31;240;6140;                                        ;-87;108
31;255;6154;                                        ;-81;107
32;0;6266; DDVIGRKYAPGCWSJDFEKXSTSWJTFMNGLIGXGAMAI;-81;107
32;240;6275;                                        ;-79;107
32;255;6280;                                        ;-79;108
33;0;6394; GRVHLZUDDKGWNIVBSYPLXPONGTPKXJKKWTXSDMM;-79;108
33;240;6400;                                        ;-78;107
33;255;6409;                                        ;-78;108
34;0;6522; EEJRKLCGGCJWEBAFCTGJJTWCYSSDBMMOGQMCCIL;-78;108
34;240;6530;                                        ;-78;107
34;255;6534;                                        ;-78;106
35;0;6650; BHFSFJKOOMHTLBJPZLKBOYOLBWGNDRQAVDSLTXL;-78;106
35;240;6656;                                        ;-79;107
35;255;6661;                                        ;-79;108
36;0;6778; EGKEMKTDJSSLTPZWMDJPRKYKNQSLFYIFEAZRSQK;-79;108
36;240;6785;                                        ;-80;107
36;255;6790;                                        ;-80;104
