SEQ;ACK;TIMESTAMP;PAYLOAD;RSSI;LQI
1;255;7325;;-83;108
1;0;7325;LVQDYOQYK;-83;108
2;255;7448;;-85;108
2;0;7448;FDBXNQDQU;-85;108
3;255;7579;;-84;107
3;0;7579;HYDJAEEBZ;-84;107
4;255;7701;;-85;107
4;0;7701;QMTBLCABW;-85;107
5;255;7831;;-82;105
5;0;7831;GMSCRNOIA;-82;105
6;255;7965;;-87;106
6;0;7965;FTLFPCUQF;-87;106
7;255;8087;;-90;107
7;0;8087;FAXOZQEGX;-90;107
8;255;8216;;-81;104
8;0;8216;MWGGLKHVX;-81;104
9;255;8347;;-82;107
9;0;8347;TDHNZQANK;-82;107
10;255;8473;;-81;106
10;0;8473;YPRBWTEAZ;-81;106
11;255;8610;;-80;108
11;0;8610;DAFEQXTIJ;-80;108
12;255;8730;;-78;107
12;0;8730;JTKWEAZQG;-78;107
13;255;8863;;-76;108
13;0;8863;MPLOHYXRU;-76;108
14;255;8985;;-78;107
14;0;8985;TOJVBZLLQ;-78;107
15;255;9116;;-73;108
15;0;9116;GJAIDBTQI;-73;108
16;255;9240;;-74;107
16;0;9240;BYGDZCXKU;-74;107
17;255;9369;;-81;108
17;0;9369;JVWGHWBMJ;-81;108
18;255;9497;;-81;107
18;0;9497;JMBPKSNZK;-81;107
19;255;9627;;-82;107
19;0;9627;GZGILUIGG;-82;107
20;255;9751;;-78;107
20;0;9751;PKZWHAETC;-78;107
21;255;9883;;-76;107
21;0;9883;LRCYXCSIX;-76;107
22;255;10008;;-75;107
22;0;10008;SUTJMRMVQ;-75;107
23;255;10139;;-79;107
23;0;10139;LYBSJNIHN;-79;107
24;255;10269;;-78;107
24;0;10269;FQYFHYSZW;-78;107
25;255;10395;;-80;107
25;0;10395;GPSVNHNNG;-80;107
26;255;10524;;-90;108
26;0;10524;DNJZJYPQC;-90;108
27;255;10650;;-90;107
27;0;10650;FLNZTRHCF;-90;107
28;255;10776;;-85;101
28;0;10776;GBKAKZXAM;-85;101
29;255;10905;;-87;107
29;0;10905;ALSUAUXXC;-87;107
30;255;11030;;-90;107
30;0;11030;HQJXQAIDD;-90;107
31;255;11160;;-87;108
31;0;11160;TJSZGCBUL;-87;108
32;255;11287;;-80;65
32;0;11287;LYYJYMYTI;-80;65
33;255;11418;;-79;107
33;0;11418;OYAWPZSHH;-79;107
34;255;11549;;-79;108
34;0;11549;FPQPSATDD;-79;108
35;255;11673;;-85;107
35;0;11673;BCAGJGOBM;-85;107
36;255;11802;;-89;108
36;0;11802;NZVHKOXRL;-89;108
37;255;11928;;-85;107
37;0;11928;AMUZLTTSA;-85;107
38;255;12062;;-85;107
38;0;12062;XOAQBTHXA;-85;107
40;255;12316;;-95;107
40;0;12316;GHTZBFOVG;-95;107
41;255;12441;;-93;95
41;0;12441;LVLTLWSZX;-93;95
42;255;12567;;-82;78
42;0;12567;FSGZSBJMO;-82;78
43;255;12697;;-82;107
43;0;12697;CFDAMJYMX;-82;107
44;255;12826;;-76;106
44;0;12826;DBDUZSITV;-76;106
45;255;12955;;-79;107
45;0;12955;ADWJAYLIE;-79;107
46;255;13085;;-87;108
46;0;13085;ZMPPATSRA;-87;108
47;255;13210;;-84;107
47;0;13210;JUKOTQIOL;-84;107
48;255;13336;;-90;107
48;0;13336;UAHOAUIEM;-90;107
49;255;13466;;-87;104
49;0;13466;XNRTGPWGA;-87;104
50;255;13598;;-87;107
50;0;13598;UKURFVTOI;-87;107
51;255;13724;;-97;108
51;0;13724;IZBJETJNX;-97;108
52;255;13851;;-93;81
52;0;13851;RQLHOIOLX;-93;81
53;255;13983;;-98;88
53;0;13983;QTGGJKMWI;-98;88
54;255;14109;;-91;87
54;0;14109;CIXNDHETY;-91;87
55;255;14232;;-93;105
55;0;14232;CWWNSLCHF;-93;105
56;255;14366;;-99;101
56;0;14366;RNKRNEAUE;-99;101
57;255;14506;;-97;73
57;0;14506;EWQKMCVXG;-97;73
58;255;14619;;-94;91
58;0;14619;VVKRRXUWO;-94;91
59;255;14745;;-92;95
59;0;14745;OBILAWWSI;-92;95
60;255;14878;;-92;106
60;0;14878;TFCECYNBI;-92;106
61;255;14999;;-87;101
61;0;14999;YWBRAKDMK;-87;101
62;255;15132;;-85;101
62;0;15132;BJTEIQRNS;-85;101
63;255;15256;;-70;107
63;0;15256;JBLPAXYCE;-70;107
64;255;15389;;-78;107
64;0;15389;RDOGQIJSA;-78;107
65;255;15513;;-77;107
65;0;15513;BHFMWTONB;-77;107
